product_category,department,center_id,total_units,sold_units,unsold_units,frozen_capital,holding_cost_to_cutoff,avg_holding_days_unsold,aged_180_units,aged_365_units,aged_180_cost,aged_365_cost,sell_through_pct,dc_name,category_revenue,category_gross_profit,gross_margin_pct,status_leakage_value,category_quadrant,category_revenue_share_pct,category_cumulative_revenue_share_pct,abc_class,inventory_action
Outerwear & Coats,Men,3,3406,1225,2181,170443.96010401723,83913.65613304,752.0056074766355,1898,1639,147004.0928591458,124166.32883613072,36.0,Houston TX,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Monitor
Jeans,Men,10,3074,1103,1971,151320.1541169097,76292.1877403608,741.4927909371781,1711,1458,131614.19372852583,112928.99423680162,35.9,Savannah GA,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Rebalance allocation by DC
Jeans,Men,7,3782,1373,2409,133017.00532937594,68446.83032731609,746.3488664987406,2097,1785,116922.46569299289,99691.81809230344,36.3,Philadelphia PA,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Monitor
Jeans,Women,8,3047,1101,1946,115745.73010435665,57226.83966830061,733.0624349635796,1666,1445,98430.30497017689,86188.28982474706,36.1,Mobile AL,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Monitor
Jeans,Men,8,2763,1003,1760,113183.19883430739,55798.52169909486,724.6733870967741,1519,1293,98248.94853981554,83729.06796117597,36.3,Mobile AL,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Monitor
Dresses,Women,3,2858,1022,1836,109750.15395789903,54728.69979014976,732.4853994490359,1569,1336,94025.36576905345,80851.68370095808,35.8,Houston TX,240309.79059791565,132020.39304571736,54.9,191377.90044689178,Star,4.345282662791929,68.09066711657469,A,Rebalance allocation by DC
Outerwear & Coats,Women,3,1776,646,1130,98216.58719818633,48443.67390347668,744.0071620411817,977,838,84209.9333960898,71897.8239077571,36.4,Houston TX,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Monitor
Intimates,Women,2,7719,2787,4932,87157.40059835315,44051.36758480881,742.6262355848435,4273,3658,75624.26018948734,65161.88627735215,36.1,Chicago IL,235863.64027023315,110396.67692278422,46.8,192076.66029024124,Cash Cow,4.26488735352477,76.65936695202018,A,Monitor
Suits & Sport Coats,Men,5,1371,491,880,84185.90551905798,41566.63743267526,737.6639629200464,751,642,72230.92750410926,61127.87385264092,35.8,New Orleans LA,333854.94957733154,199611.90367731234,59.8,275422.9497528076,Star,6.036766628093574,37.76659997565112,A,Rebalance allocation by DC
Outerwear & Coats,Men,1,2027,735,1292,83052.97851667795,41079.599974118246,727.0511006289308,1102,925,71898.01089103232,60124.29353986139,36.3,Memphis TN,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Monitor
Jeans,Women,7,1658,595,1063,83702.69059023377,40866.00256737309,714.6387035271688,896,757,70354.77012216729,59792.375314375706,35.9,Philadelphia PA,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Rebalance allocation by DC
Jeans,Men,6,2082,761,1321,80934.22391322003,40330.77352552117,727.4388931591084,1130,969,69544.69434714246,59758.67253838623,36.6,Port Authority of New York/New Jersey NY/NJ,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Monitor
Sweaters,Men,8,2392,864,1528,75583.51514861638,37842.47918989599,743.0556291390728,1346,1139,66261.95341048279,56194.59526475979,36.1,Mobile AL,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Monitor
Outerwear & Coats,Men,6,2428,874,1554,73009.33047974453,36101.925498838405,725.0984354628422,1347,1152,63097.132050428336,54115.842151356475,36.0,Port Authority of New York/New Jersey NY/NJ,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Monitor
Outerwear & Coats,Men,8,1657,604,1053,69838.12650003037,35688.7825491978,748.9173076923076,917,795,61027.23005831678,53056.88229239567,36.5,Mobile AL,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Monitor
Suits & Sport Coats,Men,1,1820,656,1164,67729.10112244001,32858.336387642536,726.1538461538462,1008,856,58135.49110162414,49410.932014827864,36.0,Memphis TN,333854.94957733154,199611.90367731234,59.8,275422.9497528076,Star,6.036766628093574,37.76659997565112,A,Monitor
Swim,Men,9,2980,1070,1910,63649.949339657855,32072.41523901246,750.4470463012241,1651,1430,54724.61338145209,47435.526160278,35.9,Charleston SC,326056.0803012848,159365.4344071027,48.9,274109.7404088974,Cash Cow,5.8957474404430465,49.63410798604126,A,Rebalance allocation by DC
Suits & Sport Coats,Men,3,1527,540,987,63352.502037375314,32087.828653271234,761.2018633540373,851,745,54348.006498526454,47902.820207152865,35.4,Houston TX,333854.94957733154,199611.90367731234,59.8,275422.9497528076,Star,6.036766628093574,37.76659997565112,A,Rebalance allocation by DC
Swim,Men,8,2996,1080,1916,61833.06424946058,30765.134776503437,732.8891235480464,1667,1432,53814.69008363942,46400.558864284714,36.0,Mobile AL,326056.0803012848,159365.4344071027,48.9,274109.7404088974,Cash Cow,5.8957474404430465,49.63410798604126,A,Monitor
Sleep & Lounge,Women,2,2983,1082,1901,60997.97289213077,29605.59088867064,732.3168264110756,1650,1416,52555.95616732882,44830.73255584096,36.3,Chicago IL,276096.6707119942,142188.54965713344,51.5,220073.32058119774,Star,4.992381182282991,54.62648916832425,A,Monitor
Outerwear & Coats,Men,5,998,359,639,57209.70039466167,29391.86710351428,757.2313787638669,570,495,51041.234546712134,44733.151412301464,36.0,New Orleans LA,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Monitor
Sweaters,Women,2,2270,829,1441,57568.15616816588,29290.921256786158,740.109396914446,1258,1089,50848.09055548239,44409.856163258584,36.5,Chicago IL,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Monitor
Intimates,Women,3,5758,2075,3683,58860.135835972775,28893.129048565857,732.1833976833976,3184,2697,50763.897095274224,43000.99286304219,36.0,Houston TX,235863.64027023315,110396.67692278422,46.8,192076.66029024124,Cash Cow,4.26488735352477,76.65936695202018,A,Monitor
Swim,Women,4,2912,1065,1847,58541.69383995685,28710.78757648289,726.8302300109528,1610,1378,50533.76859093361,43285.72239773303,36.6,Los Angeles CA,326056.0803012848,159365.4344071027,48.9,274109.7404088974,Cash Cow,5.8957474404430465,49.63410798604126,A,Monitor
Sweaters,Men,1,2414,868,1546,56608.04204906631,29173.025311448284,760.8536745406824,1356,1189,49878.385255368434,44013.08113879555,36.0,Memphis TN,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Monitor
Outerwear & Coats,Women,1,1199,440,759,57313.004794381166,28381.619504789265,732.6138482023968,658,562,49581.73748861981,42684.022781901316,36.7,Memphis TN,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Monitor
Sleep & Lounge,Men,2,3086,1116,1970,56418.56423897177,28173.301532709796,739.8784131890778,1720,1467,49363.180873846126,42292.11558045075,36.2,Chicago IL,276096.6707119942,142188.54965713344,51.5,220073.32058119774,Star,4.992381182282991,54.62648916832425,A,Monitor
Jeans,Men,4,1970,704,1266,56608.248009983094,28574.457757275646,745.90281124498,1090,943,48891.989423150335,41983.435820087514,35.7,Los Angeles CA,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Rebalance allocation by DC
Jeans,Men,1,1907,693,1214,56376.537283210804,27593.373217406377,738.0326359832636,1050,902,48157.62398622527,41185.05901560431,36.3,Memphis TN,648144.29093647,301161.66306667175,46.5,518090.3007440567,Cash Cow,11.71974784459006,23.90314682525957,A,Monitor
Fashion Hoodies & Sweatshirts,Men,8,2708,970,1738,55005.035766136934,28167.00807185352,750.0290360046457,1514,1319,48006.58302115159,41919.51285020463,35.8,Mobile AL,330259.8802957535,158598.71106277095,48.0,270305.75012874603,Cash Cow,5.971760569947093,43.73836054559821,A,Rebalance allocation by DC
Intimates,Women,1,4075,1468,2607,55891.86087255287,27059.956856695993,713.3430685358255,2227,1892,47851.29662176348,40648.64672542962,36.0,Memphis TN,235863.64027023315,110396.67692278422,46.8,192076.66029024124,Cash Cow,4.26488735352477,76.65936695202018,A,Monitor
Sweaters,Men,6,2538,904,1634,54246.33395738258,26451.73363974439,720.180916976456,1427,1196,47604.06456302485,39543.32313195169,35.6,Port Authority of New York/New Jersey NY/NJ,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Rebalance allocation by DC
Maternity,Women,3,4493,1629,2864,54698.030978264,27302.587802192513,743.8263790664781,2490,2152,47116.74929398493,40478.65987662474,36.3,Houston TX,134124.16964530945,74887.34809404462,55.8,113211.47972154617,Problem Child,2.425233809954398,89.68689050483451,B,Markdown with margin guardrail
Swim,Men,4,3201,1148,2053,52034.1137349386,26367.609671250822,750.0696296296296,1803,1552,45616.14023663668,39291.47931189352,35.9,Los Angeles CA,326056.0803012848,159365.4344071027,48.9,274109.7404088974,Cash Cow,5.8957474404430465,49.63410798604126,A,Rebalance allocation by DC
Sweaters,Men,3,2212,799,1413,53037.945144824764,25981.693438765236,721.5463695183321,1205,1046,45413.05543621251,39507.91043716677,36.1,Houston TX,432843.970164299,224468.89728997124,51.9,347799.5300254822,Star,7.826686522297975,31.729833347557545,A,Monitor
Outerwear & Coats,Men,7,1534,543,991,53046.420524159825,26371.623916763645,753.8627049180328,863,744,45412.33348010666,38338.97075428481,35.4,Philadelphia PA,673785.8696479797,374046.3253572929,55.5,528526.8398113251,Star,12.183398980669509,12.183398980669509,A,Rebalance allocation by DC
Blazers & Jackets,Women,3,1640,603,1037,51211.48169494022,26254.313630245037,742.6168768186227,909,785,45002.26579887199,39123.756096681536,36.8,Houston TX,147623.82041454315,91712.77902490456,62.1,121560.37020969391,Problem Child,2.6693345529800787,87.26165669488012,B,Markdown with margin guardrail
