order_id,user_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
20512,16362,Complete,F,2022-03-21 05:50:00,,2022-03-21 05:50:00,2022-03-25 10:40:00,2
26780,21388,Complete,F,2022-11-21 15:09:00,,2022-11-21 15:09:00,2022-11-23 12:23:00,1
27624,22089,Complete,F,2022-12-20 05:56:00,,2022-12-20 05:56:00,2022-12-21 16:13:00,1
31138,24930,Complete,F,2022-07-14 08:13:00,,2022-07-14 08:13:00,2022-07-17 18:35:00,1
32789,26264,Complete,F,2022-12-21 06:49:00,,2022-12-21 06:49:00,2022-12-22 15:01:00,1
32977,26412,Complete,F,2022-03-17 14:10:00,,2022-03-17 14:10:00,2022-03-21 00:17:00,1
39937,31987,Complete,F,2023-12-15 04:31:00,,2023-12-15 04:31:00,2023-12-16 03:57:00,1
49269,39444,Complete,F,2024-01-07 18:48:00,,2024-01-07 18:48:00,2024-01-11 19:29:00,2
83883,66902,Complete,F,2023-10-13 11:13:00,,2023-10-13 11:13:00,2023-10-18 07:45:00,1
118603,94740,Complete,F,2023-08-18 10:03:00,,2023-08-18 10:03:00,2023-08-19 00:49:00,1
118459,94625,Returned,F,2023-10-06 01:39:00,2023-10-09 20:15:00,2023-10-06 01:39:00,2023-10-08 06:23:00,2
37446,30000,Shipped,F,2024-01-09 08:54:00,,2024-01-09 08:54:00,,1
65400,52244,Shipped,F,2023-08-13 17:06:00,,2023-08-13 17:06:00,,1
69160,55277,Shipped,F,2020-04-24 02:24:00,,2020-04-24 02:24:00,,1
71615,57209,Shipped,F,2019-12-07 13:58:00,,2019-12-07 13:58:00,,1
21802,17390,Complete,M,2020-05-08 17:31:00,,2020-05-08 17:31:00,2020-05-12 21:23:00,1
81745,65188,Complete,M,2022-04-14 02:03:00,,2022-04-14 02:03:00,2022-04-18 03:41:00,1
46142,36943,Shipped,M,2019-09-30 11:32:00,,2019-09-30 11:32:00,,2
64251,51327,Shipped,M,2022-03-26 04:06:00,,2022-03-26 04:06:00,,2
