category,gmv_all_status,revenue,gross_profit,num_items,total_items,returns,return_value,cancelled_value,processing_backlog_value,cancelled_returned_leakage,status_leakage_value,status_leakage_pct,gross_margin_pct,return_rate_pct,quadrant
Accessories,389453.57978749275,214661.27991735935,128532.66199487017,4911,9080,892,37740.88001871109,59637.20996272564,77414.20988869667,97378.08998143673,174792.2998701334,44.9,59.9,9.8,Problem Child
Active,432672.5503001213,238016.34014725685,138463.49740212064,4666,8431,880,45689.230081796646,62506.650012254715,86460.3300588131,108195.88009405136,194656.21015286446,45.0,58.2,10.4,Star
Blazers & Jackets,269184.19062423706,147623.82041454315,91712.77902490456,1652,2981,268,24308.280075073242,43136.90010213852,54115.19003248215,67445.18017721176,121560.37020969391,45.2,62.1,9.0,Problem Child
Clothing Sets,16295.920000076294,8220.300004959106,3062.47518572131,100,197,18,1437.3700046539307,2629.959981918335,4008.290008544922,4067.3299865722656,8075.6199951171875,49.6,37.3,9.1,Dog
Dresses,431687.69104480743,240309.79059791565,132020.39304571736,2810,5050,496,43182.110072135925,63425.15017127991,84770.64020347595,106607.26024341583,191377.90044689178,44.3,54.9,9.8,Star
Fashion Hoodies & Sweatshirts,600565.6304244995,330259.8802957535,158598.71106277095,6051,10986,1114,60200.610067367554,88718.7600440979,121386.38001728058,148919.37011146545,270305.75012874603,45.0,48.0,10.1,Cash Cow
Intimates,427940.3005604744,235863.64027023315,110396.67692278422,6847,12484,1275,44497.69006228447,62289.76008272171,85289.21014523506,106787.45014500618,192076.66029024124,44.9,46.8,10.2,Cash Cow
Jeans,1166234.5916805267,648144.29093647,301161.66306667175,6516,11817,1139,112276.86009216309,176182.34020996094,229631.10044193268,288459.200302124,518090.3007440567,44.4,46.5,9.6,Cash Cow
Jumpsuits & Rompers,36610.40016078949,20343.140080451965,9553.590789922666,467,864,95,3780.3100175857544,5002.9400272369385,7484.0100355148315,8783.250044822693,16267.260080337524,44.4,47.0,11.0,Dog
Leggings,77532.64990186691,43147.80995130539,17257.552431487587,1646,2946,290,6963.389983654022,10748.129988193512,16673.31997871399,17711.519971847534,34384.83995056152,44.3,40.0,9.8,Dog
Maternity,247335.64936685562,134124.16964530945,74887.34809404462,2591,4805,492,26169.2699303627,34857.529933452606,52184.679857730865,61026.79986381531,113211.47972154617,45.8,55.8,10.2,Problem Child
Outerwear & Coats,1202312.7094593048,673785.8696479797,374046.3253572929,4616,8314,839,121356.00003623962,173468.759973526,233702.07980155945,294824.7600097656,528526.8398113251,44.0,55.5,10.1,Star
Pants,406012.6812963486,224059.73053073883,121250.22365331609,3762,6809,730,44515.27018356323,60011.960218429565,77425.72036361694,104527.2304019928,181952.95076560974,44.8,54.1,10.7,Star
Pants & Capris,174441.5107536316,96404.74045562744,45649.84707878008,1731,3137,312,18499.980038642883,28378.8500957489,31157.940163612366,46878.830134391785,78036.77029800415,44.7,47.4,9.9,Dog
Plus,153620.48036634922,86355.54025483131,43132.80789667264,2188,3993,404,14941.780033111572,22498.660040855408,29824.500037550926,37440.44007396698,67264.9401115179,43.8,49.9,10.1,Dog
Shorts,476072.89148044586,255821.1708164215,127757.9467316373,5618,10251,1066,52131.42016410828,72386.7502117157,95733.55028820038,124518.17037582397,220251.72066402435,46.3,49.9,10.4,Cash Cow
Skirts,105757.37019586563,57085.270092487335,34356.13413340037,1078,1960,190,11549.080029010773,15179.680050373077,21943.340023994446,26728.76007938385,48672.100103378296,46.0,60.2,9.7,Problem Child
Sleep & Lounge,496169.9912931919,276096.6707119942,142188.54965713344,5674,10168,969,46072.48012828827,73721.94019055367,100278.9002623558,119794.42031884193,220073.32058119774,44.4,51.5,9.5,Star
Socks,119108.93007183075,62907.29004049301,24929.228440416333,3240,5907,574,12285.820009708405,21613.130016088486,22302.690005540848,33898.95002579689,56201.64003133774,47.2,39.6,9.7,Dog
Socks & Hosiery,58763.61991906166,31628.78996181488,18966.927522410577,1925,3502,322,5809.909988164902,9189.539981365204,12135.379987716675,14999.449969530106,27134.82995724678,46.2,60.0,9.2,Problem Child
Suits,109023.99008750916,57931.64006614685,22936.87741349305,513,946,104,12571.58999824524,15578.400081634521,22942.359941482544,28149.99007987976,51092.350021362305,46.9,39.6,11.0,Dog
Suits & Sport Coats,609277.8993301392,333854.94957733154,199611.90367731234,2626,4802,497,65001.35992717743,86320.43988895416,124101.14993667603,151321.7998161316,275422.9497528076,45.2,59.8,10.3,Star
Sweaters,780643.5001897812,432843.970164299,224468.89728997124,5716,10419,1060,79263.61996078491,112334.94009876251,156200.96996593475,191598.56005954742,347799.5300254822,44.6,51.9,10.2,Star
Swim,600165.8207101822,326056.0803012848,159365.4344071027,5796,10605,1063,60896.40005493164,91111.88013362885,122101.46022033691,152008.2801885605,274109.7404088974,45.7,48.9,10.0,Cash Cow
Tops & Tees,453188.65153193474,248486.6007578373,109427.07970071632,6053,11037,1081,43357.460183143616,69342.53025197983,92002.060338974,112699.99043512344,204702.05077409744,45.2,44.0,9.8,Cash Cow
Underwear,189302.93026924133,106327.60012149811,56382.6766645938,3912,7037,726,19256.9500207901,27092.51003599167,36625.870090961456,46349.46005678177,82975.33014774323,43.8,53.0,10.3,Problem Child
