category,ds,yhat,yhat_lower,yhat_upper,mape_pct,model_type
Outerwear & Coats,2024-01-01,41909.39788999852,39825.64394152643,43999.50812448423,40.49,prophet
Outerwear & Coats,2024-02-01,43359.70952438188,41270.76939760339,45475.04010523834,40.49,prophet
Outerwear & Coats,2024-03-01,45983.69064175257,43939.04266024027,47988.38612313425,40.49,prophet
Outerwear & Coats,2024-04-01,48482.95454755568,46363.34947612333,50668.9561739504,40.49,prophet
Outerwear & Coats,2024-05-01,50148.37722314175,47931.106865254646,52235.69211428469,40.49,prophet
Outerwear & Coats,2024-06-01,52306.290579885484,50041.515379732235,54437.061131450595,40.49,prophet
Outerwear & Coats,2024-07-01,54172.064495392806,51818.295693686974,56344.999610303494,40.49,prophet
Outerwear & Coats,2024-08-01,58130.313235384994,55691.07447390671,60537.86213723529,40.49,prophet
Outerwear & Coats,2024-09-01,58909.0558292148,56485.571491315815,61446.8075752495,40.49,prophet
Outerwear & Coats,2024-10-01,62887.75547563518,60310.36728130486,65337.44375895443,40.49,prophet
Outerwear & Coats,2024-11-01,63491.934663383254,60725.647586713065,66110.05279625366,40.49,prophet
Outerwear & Coats,2024-12-01,64419.25599598898,61472.06281783669,67230.51879731342,40.49,prophet
Jeans,2024-01-01,36426.78509326928,34390.388065999134,38436.68360515742,22.83,prophet
Jeans,2024-02-01,38572.43500270659,36439.9872750902,40694.68658301418,22.83,prophet
Jeans,2024-03-01,40161.85649389086,38096.93123543736,42274.74085982126,22.83,prophet
Jeans,2024-04-01,41134.67592423499,39151.460426765225,43204.41010081114,22.83,prophet
Jeans,2024-05-01,42874.64828791275,40823.96915487902,44981.53863847048,22.83,prophet
Jeans,2024-06-01,43751.25490370954,41605.329505903894,45863.914108074416,22.83,prophet
Jeans,2024-07-01,45384.86218381147,43305.200445926814,47549.59005328346,22.83,prophet
Jeans,2024-08-01,47980.004434326496,45703.12492783457,50060.989768766216,22.83,prophet
Jeans,2024-09-01,51394.5950493798,49056.72087379596,53586.375768922604,22.83,prophet
Jeans,2024-10-01,51865.51823475718,49361.06413764379,54029.021487823,22.83,prophet
Jeans,2024-11-01,54244.055957320765,51713.91112830697,56739.79901478221,22.83,prophet
Jeans,2024-12-01,54886.156969809126,52306.842012091554,57366.24865397319,22.83,prophet
Sweaters,2024-01-01,24367.424707511902,22750.93679878032,25698.376813612424,23.23,prophet
Sweaters,2024-02-01,25748.317463377505,24166.756547900583,27228.40873191486,23.23,prophet
Sweaters,2024-03-01,27519.3666515639,25902.202555490072,29013.14158358793,23.23,prophet
Sweaters,2024-04-01,27773.399647682036,26276.937959459276,29232.57436011804,23.23,prophet
Sweaters,2024-05-01,29386.601240143096,27755.862036883726,30883.603097329702,23.23,prophet
Sweaters,2024-06-01,30578.50732443025,29070.9506960066,32073.451352636857,23.23,prophet
Sweaters,2024-07-01,31650.677661821886,30077.72445016617,33143.33565288929,23.23,prophet
Sweaters,2024-08-01,33183.580144206804,31531.229585132045,34810.33986716225,23.23,prophet
Sweaters,2024-09-01,34015.55633362769,32258.40281432093,35531.381600123896,23.23,prophet
Sweaters,2024-10-01,35282.30840121191,33516.531998421335,36853.20053459628,23.23,prophet
Sweaters,2024-11-01,37209.12562968077,35368.154312117054,38941.33289641247,23.23,prophet
Sweaters,2024-12-01,38050.40036836773,36113.24880156278,39909.99346843039,23.23,prophet
