date_key,date,year,month,quarter,day_of_week,week_of_year,year_month
20190101,2019-01-01,2019,1,1,1,1,2019-01
20190102,2019-01-02,2019,1,1,2,1,2019-01
20190103,2019-01-03,2019,1,1,3,1,2019-01
20190104,2019-01-04,2019,1,1,4,1,2019-01
20190105,2019-01-05,2019,1,1,5,1,2019-01
20190106,2019-01-06,2019,1,1,6,1,2019-01
20190107,2019-01-07,2019,1,1,0,2,2019-01
20190108,2019-01-08,2019,1,1,1,2,2019-01
20190109,2019-01-09,2019,1,1,2,2,2019-01
20190110,2019-01-10,2019,1,1,3,2,2019-01
20190111,2019-01-11,2019,1,1,4,2,2019-01
20190112,2019-01-12,2019,1,1,5,2,2019-01
20190113,2019-01-13,2019,1,1,6,2,2019-01
20190114,2019-01-14,2019,1,1,0,3,2019-01
20190115,2019-01-15,2019,1,1,1,3,2019-01
20190116,2019-01-16,2019,1,1,2,3,2019-01
20190117,2019-01-17,2019,1,1,3,3,2019-01
20190118,2019-01-18,2019,1,1,4,3,2019-01
20190119,2019-01-19,2019,1,1,5,3,2019-01
20190120,2019-01-20,2019,1,1,6,3,2019-01
20190121,2019-01-21,2019,1,1,0,4,2019-01
20190122,2019-01-22,2019,1,1,1,4,2019-01
20190123,2019-01-23,2019,1,1,2,4,2019-01
20190124,2019-01-24,2019,1,1,3,4,2019-01
20190125,2019-01-25,2019,1,1,4,4,2019-01
20190126,2019-01-26,2019,1,1,5,4,2019-01
20190127,2019-01-27,2019,1,1,6,4,2019-01
20190128,2019-01-28,2019,1,1,0,5,2019-01
20190129,2019-01-29,2019,1,1,1,5,2019-01
20190130,2019-01-30,2019,1,1,2,5,2019-01
20190131,2019-01-31,2019,1,1,3,5,2019-01
20190201,2019-02-01,2019,2,1,4,5,2019-02
20190202,2019-02-02,2019,2,1,5,5,2019-02
20190203,2019-02-03,2019,2,1,6,5,2019-02
20190204,2019-02-04,2019,2,1,0,6,2019-02
20190205,2019-02-05,2019,2,1,1,6,2019-02
20190206,2019-02-06,2019,2,1,2,6,2019-02
20190207,2019-02-07,2019,2,1,3,6,2019-02
20190208,2019-02-08,2019,2,1,4,6,2019-02
20190209,2019-02-09,2019,2,1,5,6,2019-02
20190210,2019-02-10,2019,2,1,6,6,2019-02
20190211,2019-02-11,2019,2,1,0,7,2019-02
20190212,2019-02-12,2019,2,1,1,7,2019-02
20190213,2019-02-13,2019,2,1,2,7,2019-02
20190214,2019-02-14,2019,2,1,3,7,2019-02
20190215,2019-02-15,2019,2,1,4,7,2019-02
20190216,2019-02-16,2019,2,1,5,7,2019-02
20190217,2019-02-17,2019,2,1,6,7,2019-02
20190218,2019-02-18,2019,2,1,0,8,2019-02
20190219,2019-02-19,2019,2,1,1,8,2019-02
20190220,2019-02-20,2019,2,1,2,8,2019-02
20190221,2019-02-21,2019,2,1,3,8,2019-02
20190222,2019-02-22,2019,2,1,4,8,2019-02
20190223,2019-02-23,2019,2,1,5,8,2019-02
