department,category,brand,price_band,fulfillment_bucket,total_items,recognized_items,returned_items,cancelled_items,processing_items,gmv_all_status,revenue,return_value,cancelled_value,processing_backlog_value,gross_profit,avg_sale_price,avg_fulfillment_days,return_rate_pct,cancel_rate_pct,processing_rate_pct,status_leakage_value,status_leakage_pct,gross_margin_pct,proxy_hypothesis,recommended_action
Men,Jeans,7 For All Mankind,$100-200,not delivered / open,347,171,0,79,97,55564.43017578125,27756.090087890625,0.0,12297.650047302246,15510.690040588379,12916.329582936072,160.12804085239554,,0.0,22.8,28.0,27808.340087890625,50.0,46.5,Checkout/payment/inventory cancellation friction,"Audit stock sync, payment failure, checkout messaging"
Men,Jeans,True Religion,$200+,not delivered / open,134,53,0,37,44,38440.52006530762,15274.500030517578,0.0,10530.449981689453,12635.570053100586,7072.782120844773,286.86955272617627,,0.0,27.6,32.8,23166.02003479004,60.3,46.3,Checkout/payment/inventory cancellation friction,"Audit stock sync, payment failure, checkout messaging"
Men,Jeans,Diesel,$100-200,not delivered / open,207,102,0,54,51,36109.209869384766,17672.159912109375,0.0,9458.799980163574,8978.249977111816,8346.550481509568,174.4406273883322,,0.0,26.1,24.6,18437.04995727539,51.1,47.2,Checkout/payment/inventory cancellation friction,"Audit stock sync, payment failure, checkout messaging"
Women,Jeans,7 For All Mankind,$100-200,not delivered / open,190,88,0,52,50,31461.17010498047,14466.13003540039,0.0,8750.320022583008,8244.72004699707,6713.535660881243,165.5851058156867,,0.0,27.4,26.3,16995.040069580078,54.0,46.4,Checkout/payment/inventory cancellation friction,"Audit stock sync, payment failure, checkout messaging"
Men,Jeans,Joe's Jeans,$100-200,not delivered / open,211,105,0,42,64,33577.88995361328,16679.859970092773,0.0,6656.689987182617,10241.33999633789,7719.606266037809,159.13691921143734,,0.0,19.9,30.3,16898.029983520508,50.3,46.3,Checkout/payment/inventory cancellation friction,"Audit stock sync, payment failure, checkout messaging"
Men,Outerwear & Coats,Carhartt,$100-200,not delivered / open,242,117,0,52,73,32769.569648742676,15883.819847106934,0.0,7140.149925231934,9745.599876403809,8849.0061550877,135.41144482951518,,0.0,21.5,30.2,16885.749801635742,51.5,55.7,Checkout/payment/inventory cancellation friction,"Audit stock sync, payment failure, checkout messaging"
Men,Suits & Sport Coats,Joseph Abboud,$200+,not delivered / open,78,31,0,26,21,23803.29002380371,8984.459991455078,0.0,8119.690002441406,6699.140029907227,5207.372541428123,305.1703849205604,,0.0,33.3,26.9,14818.830032348633,62.3,58.0,Checkout/payment/inventory cancellation friction,"Audit stock sync, payment failure, checkout messaging"
Men,Jeans,Diesel,$200+,not delivered / open,104,49,0,20,35,25350.529983520508,12173.760009765625,0.0,4675.139984130859,8501.629989624023,5688.937372301672,243.7550959953895,,0.0,19.2,33.7,13176.769973754883,52.0,46.7,Checkout/payment/inventory cancellation friction,"Audit stock sync, payment failure, checkout messaging"
Men,Outerwear & Coats,The North Face,$200+,not delivered / open,38,21,0,6,11,28716.409957885742,16420.65998840332,0.0,2945.759979248047,9349.989990234375,9291.907508921617,755.69499889173,,0.0,15.8,28.9,12295.749969482422,42.8,56.6,Backlog or status-update SLA risk,Create processing aging SLA and exception queue
Men,Accessories,Oakley,$100-200,not delivered / open,135,61,0,38,36,19052.140045166016,8586.750022888184,0.0,5395.880012512207,5069.510009765625,5066.565887790442,141.12696329752603,,0.0,28.1,26.7,10465.390022277832,54.9,59.0,Checkout/payment/inventory cancellation friction,"Audit stock sync, payment failure, checkout messaging"
Men,Outerwear & Coats,Arc'teryx,$200+,not delivered / open,41,18,0,11,12,18233.750061035156,7896.950012207031,0.0,5084.850036621094,5251.950012207031,4458.7997506183165,444.72561124475993,,0.0,26.8,29.3,10336.800048828125,56.7,56.5,Checkout/payment/inventory cancellation friction,"Audit stock sync, payment failure, checkout messaging"
