product_category,department,center_id,abc_class,discount_pct,price_elasticity,expected_sell_through_pct,markdown_price,net_incremental_value,recommended_action
Blazers & Jackets,Women,3,B,25.0,-1.0014672674409137,45.036681686022845,95.43599561307488,21207.870580466624,Markdown with guardrail
Underwear,Men,3,B,25.0,-2.284396592085347,77.10991480213367,21.503874186582344,20054.586308994378,Markdown with guardrail
Underwear,Men,10,B,25.0,-2.284396592085347,77.10991480213367,19.655975959545525,17136.612746446066,Markdown with guardrail
Accessories,Men,2,B,15.0,-0.5309560375138809,27.964340562708212,62.34023254031403,14722.928429187881,Markdown with guardrail
Pants,Men,7,B,20.0,-1.0014672674409137,40.02934534881828,45.94428105018176,13982.236431302626,Markdown with guardrail
Pants,Men,8,B,20.0,-1.0014672674409137,40.02934534881828,73.60519254202079,13691.69896314519,Markdown with guardrail
Blazers & Jackets,Women,1,B,25.0,-1.0014672674409137,45.036681686022845,117.20972277791815,13329.385423303123,Markdown with guardrail
Maternity,Women,3,B,10.0,-0.3,23.0,38.96267839385491,12562.129994978559,Markdown with guardrail
Pants,Men,6,B,20.0,-1.0014672674409137,40.02934534881828,38.45591462290411,11998.421820777185,Markdown with guardrail
Pants,Men,4,B,20.0,-1.0014672674409137,40.02934534881828,55.22312153604241,11430.782716813885,Markdown with guardrail
Blazers & Jackets,Women,9,B,25.0,-1.0014672674409137,45.036681686022845,25.56689223038618,11238.67321252932,Markdown with guardrail
Accessories,Men,8,B,15.0,-0.5309560375138809,27.964340562708212,67.38202926548011,10560.540766448681,Markdown with guardrail
Blazers & Jackets,Women,2,B,25.0,-1.0014672674409137,45.036681686022845,78.79137577909104,10493.28211442814,Markdown with guardrail
Accessories,Women,2,B,15.0,-0.5309560375138809,27.964340562708212,53.42767054423683,10201.727900738026,Markdown with guardrail
Pants,Men,2,B,20.0,-1.0014672674409137,40.02934534881828,53.274140391374274,10169.077298959479,Markdown with guardrail
Plus,Women,2,B,20.0,-1.0014672674409137,40.02934534881828,38.6912545466513,9948.091832888798,Markdown with guardrail
Pants,Men,1,B,20.0,-1.0014672674409137,40.02934534881828,46.713605857253135,9750.62711680256,Markdown with guardrail
Underwear,Men,2,B,25.0,-2.284396592085347,77.10991480213367,22.017533878780394,9662.656309573826,Markdown with guardrail
Pants,Men,3,B,20.0,-1.0014672674409137,40.02934534881828,50.107052782828504,9233.586522782203,Markdown with guardrail
Underwear,Men,1,B,25.0,-2.284396592085347,77.10991480213367,18.993269194019557,8929.249739015277,Markdown with guardrail
Pants,Men,5,B,20.0,-1.0014672674409137,40.02934534881828,49.49982126845374,8211.396413147331,Markdown with guardrail
Pants,Men,10,B,20.0,-1.0014672674409137,40.02934534881828,59.278543213741614,8181.401649768581,Markdown with guardrail
Pants & Capris,Women,3,B,15.0,-1.0014672674409137,35.02200901161371,62.55151719024975,8144.2111905704605,Markdown with guardrail
Skirts,Women,3,C,20.0,-1.0014672674409137,40.02934534881828,70.68011201424702,7049.467858071838,Markdown with guardrail
Blazers & Jackets,Women,5,B,25.0,-1.0014672674409137,45.036681686022845,124.63324624876822,6742.0246443035185,Markdown with guardrail
Accessories,Women,1,B,15.0,-0.5309560375138809,27.964340562708212,34.65249927341645,6424.881710575175,Markdown with guardrail
Accessories,Women,8,B,15.0,-0.5309560375138809,27.964340562708212,48.4672577563686,6275.712890841247,Markdown with guardrail
Maternity,Women,2,B,10.0,-0.3,23.0,52.85867336964703,5755.431981633819,Markdown with guardrail
