category,price_elasticity,months_used,avg_price,price_cv,method,fallback_used
Accessories,-0.5309560375138809,60,44.622766775933925,0.24984914347235845,log_log_monthly_units_vs_avg_price,False
Active,-1.0014672674409137,59,49.82922756888857,0.2851747960738738,fallback_category_median,True
Blazers & Jackets,-1.0014672674409137,57,86.64792045729732,0.25071093190737703,fallback_category_median,True
Clothing Sets,-1.0014672674409137,39,81.03520938976538,0.35009251097790683,fallback_category_median,True
Dresses,-1.0014672674409137,60,84.3624251399762,0.24645547026872025,fallback_category_median,True
Fashion Hoodies & Sweatshirts,-1.0014672674409137,60,53.99641101966823,0.1134967537254589,fallback_category_median,True
Intimates,-1.0014672674409137,60,34.06726415982093,0.1453954031220292,fallback_category_median,True
Jeans,-1.0014672674409137,60,99.41020247671784,0.1407022789694224,fallback_category_median,True
Jumpsuits & Rompers,-1.0014672674409137,54,47.07840465313646,0.8142938516976579,fallback_category_median,True
Leggings,-1.0014672674409137,57,25.271338179673734,0.3296309322000566,fallback_category_median,True
Maternity,-0.3,59,52.478255449686564,0.19990165905841503,log_log_monthly_units_vs_avg_price,False
Outerwear & Coats,-0.8260194069481595,59,156.83008865236704,0.6411013988468218,log_log_monthly_units_vs_avg_price,False
Pants,-1.0014672674409137,58,59.322678345945,0.12733551386221703,fallback_category_median,True
Pants & Capris,-1.0014672674409137,58,54.753838910798315,0.33542700554580057,fallback_category_median,True
Plus,-1.0014672674409137,58,39.88496568502075,0.3225152426855419,fallback_category_median,True
Shorts,-1.0014672674409137,60,45.52738215456657,0.12222814253912075,fallback_category_median,True
Skirts,-1.0014672674409137,56,51.942832259110254,0.3076695269169674,fallback_category_median,True
Sleep & Lounge,-1.382075002310694,59,48.684791494813396,0.12722327612835385,log_log_monthly_units_vs_avg_price,False
Socks,-1.0014672674409137,58,18.890981941776197,0.20952990451411685,fallback_category_median,True
Socks & Hosiery,-1.274368522037049,59,16.968298804960572,0.1451190493250428,log_log_monthly_units_vs_avg_price,False
Suits,-1.0014672674409137,54,117.63920416960093,0.18725311174008308,log_log_monthly_units_vs_avg_price,False
Suits & Sport Coats,-0.3,59,128.28034775663426,0.16018214857586588,log_log_monthly_units_vs_avg_price,False
Sweaters,-1.0014672674409137,60,74.16318873689444,0.11816877005462356,fallback_category_median,True
Swim,-1.0014672674409137,59,55.66222939831142,0.09142977514340049,fallback_category_median,True
Tops & Tees,-1.8980247381497903,60,42.55935525547154,0.23407474598947944,log_log_monthly_units_vs_avg_price,False
Underwear,-2.284396592085347,59,27.55663853887832,0.19299076745398094,log_log_monthly_units_vs_avg_price,False
